team,market_value_meur,avg_age,squad_size
France,1520,27.0,26
England,1360,27.2,26
Spain,1220,26.8,26
Portugal,1010,28.1,26
Germany,947,28.1,26
Brazil,928,29.4,26
Argentina,783,29.1,25
Netherlands,754,27.8,26
Norway,590,26.8,26
Belgium,548,27.6,26
Ivory Coast,522,25.9,26
Morocco,498,26.4,26
Senegal,478,27.1,26
Turkey,474,27.7,26
Sweden,406,27.6,26
Croatia,387,28.3,26
United States,386,26.9,26
Ecuador,369,26.1,26
Uruguay,359,28.8,26
Switzerland,333,28.3,26
Colombia,302,30.1,26
Japan,271,27.8,26
Algeria,257,26.9,26
Austria,242,28.6,25
Ghana,235,26.8,27
Canada,197,27.1,25
Mexico,192,27.9,26
Czechia,188,27.6,26
Scotland,170,29.2,26
Paraguay,154,29.0,26
Bosnia and Herzegovina,152,26.4,26
DR Congo,144,29.1,26
South Korea,139,28.1,26
Egypt,116,29.1,26
Uzbekistan,85,28.5,26
Australia,77,27.4,26
Tunisia,70,26.7,26
Haiti,56,27.6,26
Cape Verde,55,29.7,26
South Africa,49,26.8,26
Saudi Arabia,41,28.5,26
Panama,35,30.4,26
New Zealand,34,28.1,26
Iran,32,30.4,26
Curaçao,26,28.0,26
Iraq,21,26.9,26
Jordan,20,28.5,26
Qatar,20,29.5,26
