team,avg_finish,champion_pct,top4_pct,top8_pct,actual_rank,predicted_rank,rank_error
Brazil,6.73339,19.328,41.131,59.904,5,1,4
Argentina,7.80083,11.926,33.432,50.614,1,2,1
Spain,8.66294,9.44,26.938,46.834,13,3,10
Netherlands,8.21707,8.114,27.462,48.469,6,4,2
France,8.88076,7.597,26.551,42.517,2,5,3
Belgium,9.31631,5.692,20.657,38.261,24,6,18
Portugal,9.5309,5.275,19.846,36.631,7,7,0
Germany,10.2046,4.674,18.475,35.884,17,8,9
England,9.74497,4.279,19.537,38.187,8,9,1
Denmark,11.16334,2.584,13.968,27.156,29,10,19
Uruguay,10.92477,2.463,12.958,27.501,18,11,7
Mexico,11.09038,2.393,13.872,27.433,20,12,8
Iran,11.24405,2.071,12.417,27.794,25,13,12
Croatia,11.67338,1.688,9.891,22.609,3,14,11
United States,11.9653,1.438,9.651,23.282,14,15,1
Switzerland,11.98741,1.409,9.628,22.728,12,16,4
Japan,13.05227,1.06,6.998,17.451,9,17,8
South Korea,12.44432,0.999,7.279,18.381,15,18,3
Serbia,12.74368,0.947,7.135,18.028,23,19,4
Ecuador,12.23284,0.913,7.848,20.362,31,20,11
Australia,12.94626,0.86,7.087,16.522,11,21,10
Senegal,12.44359,0.859,7.338,19.463,10,22,12
Morocco,13.27169,0.64,5.044,13.917,4,23,19
Poland,13.18638,0.624,6.115,14.918,16,24,8
Canada,13.21723,0.603,5.074,14.106,27,25,2
Tunisia,13.78974,0.488,4.703,12.191,19,26,7
Costa Rica,14.19819,0.393,3.818,10.938,28,27,1
Wales,13.948,0.347,3.802,11.83,26,28,2
Qatar,14.0294,0.258,3.292,10.613,32,29,3
Saudi Arabia,14.40197,0.221,2.925,8.649,30,30,0
Ghana,14.46066,0.214,2.476,8.189,21,31,10
Cameroon,14.49338,0.203,2.652,8.638,22,32,10
