team,avg_finish,champion_pct,top4_pct,top8_pct,actual_rank,predicted_rank,rank_error
Brazil,6.97812,16.453,37.523,57.034,5,1,4
Argentina,7.88847,10.936,31.117,49.111,1,2,1
Spain,8.83554,8.3,25.06,44.471,13,3,10
Netherlands,8.30667,7.985,26.298,46.794,6,4,2
France,9.10193,6.842,24.208,40.434,2,5,3
Belgium,9.46011,5.446,19.597,37.058,24,6,18
Portugal,9.53113,5.248,19.48,36.203,7,7,0
Germany,10.33487,4.641,17.627,34.229,17,8,9
England,9.92974,4.129,18.12,35.965,8,9,1
Denmark,11.07482,3.043,14.558,27.734,29,10,19
Uruguay,10.90739,2.78,13.17,27.414,18,11,7
Mexico,11.18299,2.583,13.546,26.885,20,12,8
Iran,11.20195,2.392,12.698,27.858,25,13,12
Croatia,11.6774,2.041,10.292,23.116,3,14,11
Switzerland,12.01847,1.797,10.073,22.657,12,15,3
United States,11.89835,1.771,10.311,23.572,14,16,2
South Korea,12.36243,1.368,8.153,19.208,15,17,2
Japan,12.96989,1.368,7.809,18.197,9,18,9
Serbia,12.5908,1.309,8.323,19.436,23,19,4
Ecuador,12.11034,1.289,9.084,21.895,31,20,11
Senegal,12.44872,1.155,8.007,19.832,10,21,11
Australia,12.92883,1.134,7.646,17.103,11,22,11
Canada,13.05685,1.017,6.326,15.735,27,23,4
Morocco,13.14825,0.894,5.913,15.183,4,24,20
Poland,13.14421,0.86,6.742,15.745,16,25,9
Tunisia,13.68306,0.692,5.475,13.105,19,26,7
Costa Rica,14.09834,0.632,4.623,12.011,28,27,1
Wales,13.90137,0.533,4.516,12.433,26,28,2
Qatar,13.9634,0.394,4.064,11.651,32,29,3
Saudi Arabia,14.30623,0.35,3.61,9.883,30,30,0
Cameroon,14.46756,0.346,3.212,9.519,22,31,9
Ghana,14.49177,0.272,2.819,8.529,21,32,11
