team,elo,adjusted_elo,avg_finish,median_finish,champion_pct,final_pct,sf_pct,qf_pct,r32_pct,predicted_rank
Spain,2058.7,2099.0,10.46,9,12.09,19.12,29.36,42.46,93.66,1
Argentina,2042.8,2073.5,11.12,9,10.55,17.17,27.22,40.63,92.28,2
France,2008.4,2053.0,11.05,9,9.71,16.55,26.63,42.13,90.73,3
Brazil,2006.1,2033.1,11.61,9,8.04,14.38,24.46,37.41,90.97,4
England,1962.8,2004.1,12.25,9,6.28,11.49,19.88,34.06,89.84,5
Portugal,1955.7,1984.9,12.89,9,5.55,10.18,18.63,32.59,87.21,6
Germany,1916.3,1943.2,13.19,9,4.08,8.43,16.0,30.93,87.11,7
Colombia,1938.7,1947.6,14.07,17,3.93,7.87,15.33,28.09,83.96,8
Netherlands,1927.8,1945.8,14.2,17,3.77,7.59,14.67,25.38,85.25,9
Belgium,1906.1,1928.2,13.3,9,3.67,7.48,14.81,30.0,86.75,10
Japan,1897.7,1909.7,15.44,17,2.58,5.59,11.83,21.48,81.3,11
Mexico,1861.3,1888.8,14.08,17,2.51,5.7,11.99,25.83,85.24,12
Croatia,1876.5,1891.5,15.65,17,2.42,5.16,10.68,21.51,80.35,13
Uruguay,1884.9,1890.1,15.51,17,2.34,5.08,11.12,21.56,82.09,14
Ecuador,1863.1,1883.4,15.04,17,2.31,5.2,11.31,23.93,81.91,15
Morocco,1867.8,1895.9,15.86,17,2.17,4.83,10.4,19.76,79.77,16
Switzerland,1840.9,1845.0,14.1,17,1.78,4.24,9.96,22.07,87.32,17
Senegal,1830.7,1858.1,17.66,17,1.54,3.76,8.05,17.3,71.36,18
South Korea,1827.8,1830.2,16.02,17,1.41,3.5,8.32,20.12,78.8,19
Canada,1798.3,1816.8,14.88,17,1.28,3.39,8.44,19.65,85.14,20
Turkey,1798.6,1823.0,17.67,17,1.24,3.0,7.26,17.7,71.91,21
Algeria,1810.1,1824.6,18.63,17,1.12,2.63,6.63,14.79,69.73,22
Australia,1825.8,1817.8,17.9,17,1.11,2.79,6.83,17.05,71.08,23
Norway,1792.8,1830.2,18.74,17,1.1,2.8,6.34,14.69,67.57,24
Iran,1848.9,1812.3,17.58,17,1.04,2.69,6.9,16.86,72.72,25
United States,1776.9,1799.7,18.78,17,0.88,2.36,6.0,15.2,67.67,26
Ivory Coast,1761.9,1784.6,18.67,17,0.76,2.07,5.54,14.05,69.31,27
Austria,1773.4,1781.5,20.53,17,0.62,1.73,4.55,10.94,61.97,28
Paraguay,1752.4,1761.7,20.59,17,0.54,1.53,4.23,11.76,60.41,29
Egypt,1747.9,1744.9,20.55,17,0.46,1.36,3.83,10.65,61.01,30
Uzbekistan,1746.1,1739.5,22.38,17,0.37,1.15,3.24,8.42,53.1,31
Czechia,1722.5,1712.9,20.88,17,0.36,1.12,3.32,10.11,59.8,32
Panama,1755.2,1721.5,22.28,17,0.31,0.98,2.94,7.8,54.46,33
Scotland,1715.8,1722.0,22.54,17,0.29,0.91,2.66,7.16,53.27,34
Sweden,1710.4,1726.9,22.83,17,0.28,0.88,2.65,6.91,51.71,35
Tunisia,1735.4,1715.4,23.33,33,0.24,0.77,2.35,6.42,49.4,36
New Zealand,1707.0,1678.2,23.59,33,0.18,0.65,2.05,6.36,47.69,37
DR Congo,1673.2,1678.3,24.84,33,0.17,0.54,1.73,5.08,42.01,38
Jordan,1696.9,1664.1,25.1,33,0.14,0.45,1.51,4.75,41.32,39
South Africa,1642.0,1630.6,24.33,33,0.12,0.43,1.53,5.46,44.32,40
Iraq,1687.0,1655.7,25.82,33,0.12,0.41,1.31,4.3,36.91,41
Saudi Arabia,1657.5,1632.8,24.2,33,0.11,0.4,1.43,4.7,46.62,42
Ghana,1650.4,1648.1,25.13,33,0.11,0.38,1.35,4.32,41.22,43
Haiti,1667.6,1654.5,25.1,33,0.1,0.39,1.35,4.13,41.4,44
Bosnia and Herzegovina,1584.7,1574.2,23.47,17,0.07,0.32,1.19,4.67,50.35,45
Cape Verde,1601.6,1588.0,25.56,33,0.07,0.24,0.9,3.37,39.96,46
Qatar,1584.4,1527.3,25.14,33,0.04,0.18,0.77,3.22,42.13,47
Curaçao,1560.5,1531.0,27.44,33,0.03,0.13,0.53,2.25,29.89,48
